team,team_code,rank,prev_rank,points,confed
Spain,ESP,1,1,1880.76,UEFA
Argentina,ARG,2,3,1872.43,CONMEBOL
France,FRA,3,2,1862.71,UEFA
England,ENG,4,4,1824.3,UEFA
Portugal,POR,5,5,1778.0,UEFA
Netherlands,NED,6,7,1759.96,UEFA
Brazil,BRA,7,6,1758.85,CONMEBOL
Belgium,BEL,8,8,1740.01,UEFA
Italy,ITA,9,10,1717.15,UEFA
Germany,GER,10,12,1713.3,UEFA
Croatia,CRO,11,9,1710.15,UEFA
Morocco,MAR,12,11,1710.11,CAF
Colombia,COL,13,13,1695.72,CONMEBOL
Mexico,MEX,14,14,1682.52,CONCACAF
Uruguay,URU,15,15,1677.57,CONMEBOL
USA,USA,16,16,1673.49,CONCACAF
Switzerland,SUI,17,17,1653.32,UEFA
Senegal,SEN,18,18,1650.61,CAF
Japan,JPN,19,19,1645.34,AFC
Denmark,DEN,20,20,1641.02,UEFA
IR Iran,IRN,21,21,1618.28,AFC
Korea Republic,KOR,22,23,1593.92,AFC
Ecuador,ECU,23,24,1589.72,CONMEBOL
Austria,AUT,24,22,1586.98,UEFA
Australia,AUS,25,25,1584.02,AFC
Türkiye,TUR,26,27,1570.18,UEFA
Ukraine,UKR,27,28,1555.36,UEFA
Canada,CAN,28,26,1554.63,CONCACAF
Norway,NOR,29,31,1532.14,UEFA
Russia,RUS,30,33,1530.95,UEFA
Panama,PAN,31,29,1528.21,CONCACAF
Egypt,EGY,32,35,1525.31,CAF
Poland,POL,33,36,1523.84,UEFA
Wales,WAL,34,30,1518.81,UEFA
Algeria,ALG,35,38,1510.26,CAF
Serbia,SRB,36,34,1507.84,UEFA
Hungary,HUN,37,41,1504.92,UEFA
Scotland,SCO,38,43,1504.2,UEFA
Paraguay,PAR,39,37,1498.15,CONMEBOL
Sweden,SWE,40,32,1496.99,UEFA
Nigeria,NGA,41,45,1495.46,CAF
Côte d'Ivoire,CIV,42,44,1491.78,CAF
Tunisia,TUN,43,46,1490.8,CAF
Czechia,CZE,44,39,1484.68,UEFA
Costa Rica,CRC,45,47,1483.74,CONCACAF
Slovakia,SVK,46,42,1483.35,UEFA
Romania,ROU,47,51,1480.13,UEFA
Greece,GRE,48,40,1472.99,UEFA
Peru,PER,49,48,1464.05,CONMEBOL
Venezuela,VEN,50,49,1463.27,CONMEBOL
Slovenia,SVN,51,50,1462.93,UEFA
Qatar,QAT,52,53,1461.6,AFC
Mali,MLI,53,56,1455.78,CAF
Cameroon,CMR,54,52,1453.71,CAF
Uzbekistan,UZB,55,54,1452.34,AFC
Chile,CHI,56,57,1446.93,CONMEBOL
Iraq,IRQ,57,58,1428.69,AFC
Saudi Arabia,KSA,58,59,1427.37,AFC
South Africa,RSA,59,55,1423.17,CAF
Congo DR,COD,60,60,1421.32,CAF
Albania,ALB,61,66,1401.34,UEFA
Republic of Ireland,IRL,62,61,1401.18,UEFA
Burkina Faso,BFA,63,64,1398.05,CAF
Honduras,HON,64,65,1396.23,CONCACAF
North Macedonia,MKD,65,63,1390.6,UEFA
Jordan,JOR,66,62,1380.87,AFC
United Arab Emirates,UAE,67,67,1379.93,AFC
Jamaica,JAM,68,69,1367.18,CONCACAF
Northern Ireland,NIR,69,72,1366.27,UEFA
Georgia,GEO,70,68,1365.92,UEFA
Cabo Verde,CPV,71,70,1364.26,CAF
Finland,FIN,72,71,1360.27,UEFA
Ghana,GHA,73,75,1356.4,CAF
Iceland,ISL,74,74,1344.84,UEFA
Bosnia and Herzegovina,BIH,75,73,1341.36,UEFA
Bolivia,BOL,76,77,1334.55,CONMEBOL
Gabon,GAB,77,79,1329.91,CAF
Israel,ISR,78,76,1324.57,UEFA
Oman,OMA,79,78,1312.32,AFC
Guinea,GUI,80,81,1305.22,CAF
Montenegro,MNE,81,80,1297.88,UEFA
Curaçao,CUW,82,84,1295.52,CONCACAF
Uganda,UGA,83,82,1287.75,CAF
Kosovo,KOS,84,91,1284.73,UEFA
New Zealand,NZL,85,83,1283.3,OFC
Syria,SYR,86,92,1274.16,AFC
Zambia,ZAM,87,85,1268.6,CAF
Haiti,HAI,88,87,1268.32,CONCACAF
Angola,ANG,89,89,1267.45,CAF
Bahrain,BHR,90,88,1267.16,AFC
Bulgaria,BUL,91,86,1263.07,UEFA
Benin,BEN,92,93,1259.39,CAF
China PR,CHN,93,94,1249.06,AFC
El Salvador,SLV,94,90,1247.77,CONCACAF
Guatemala,GUA,95,98,1241.52,CONCACAF
Thailand,THA,96,101,1235.36,AFC
Luxembourg,LUX,97,96,1231.8,UEFA
Palestine,PLE,98,99,1230.55,AFC
Equatorial Guinea,EQG,99,95,1229.91,CAF
Trinidad and Tobago,TRI,100,102,1229.9,CONCACAF
Mozambique,MOZ,101,97,1227.53,CAF
Tajikistan,TJK,102,104,1220.21,AFC
Belarus,BLR,103,100,1212.78,UEFA
Armenia,ARM,104,103,1204.7,UEFA
Kyrgyz Republic,KGZ,105,106,1201.22,AFC
Madagascar,MAD,106,108,1193.48,CAF
Tanzania,TAN,107,107,1187.08,CAF
Niger,NIG,108,117,1187.0,CAF
Kenya,KEN,109,111,1185.55,CAF
Lebanon,LBN,110,113,1184.68,AFC
Vietnam,VIE,111,114,1183.62,AFC
Comoros,COM,112,105,1180.18,CAF
Mauritania,MTN,113,110,1179.2,CAF
Libya,LBY,114,112,1177.77,CAF
Kazakhstan,KAZ,115,118,1168.47,UEFA
Namibia,NAM,116,109,1162.79,CAF
The Gambia,GAM,117,115,1162.12,CAF
Malaysia,MAS,118,123,1161.53,AFC
Sudan,SDN,119,116,1157.11,CAF
Korea DPR,PRK,120,121,1151.05,AFC
Sierra Leone,SLE,121,122,1149.1,CAF
Indonesia,IDN,122,119,1144.73,AFC
Azerbaijan,AZE,123,124,1142.25,UEFA
Togo,TOG,124,120,1140.35,CAF
Cyprus,CYP,125,128,1137.43,UEFA
Suriname,SUR,126,131,1135.89,CONCACAF
Faroe Islands,FRO,127,136,1132.41,UEFA
Malawi,MWI,128,126,1129.89,CAF
Zimbabwe,ZIM,129,125,1125.55,CAF
Estonia,EST,130,129,1122.25,UEFA
Rwanda,RWA,131,127,1117.78,CAF
Guinea-Bissau,GNB,132,130,1108.09,CAF
Nicaragua,NCA,133,132,1106.83,CONCACAF
Congo,CGO,134,133,1105.96,CAF
Kuwait,KUW,135,135,1096.82,AFC
India,IND,136,134,1096.65,AFC
Botswana,BOT,137,139,1084.56,CAF
Liberia,LBR,138,144,1084.46,CAF
Latvia,LVA,139,137,1084.26,UEFA
Central African Republic,CTA,140,140,1083.57,CAF
Philippines,PHI,141,143,1081.44,AFC
Turkmenistan,TKM,142,138,1078.09,AFC
Dominican Republic,DOM,143,142,1073.54,CONCACAF
Lesotho,LES,144,153,1069.83,CAF
Burundi,BDI,145,141,1060.22,CAF
Lithuania,LTU,146,145,1055.58,UEFA
Ethiopia,ETH,147,147,1055.36,CAF
"Hong Kong, China",HKG,148,146,1052.54,AFC
Solomon Islands,SOL,149,148,1045.58,OFC
New Caledonia,NCL,150,150,1042.62,OFC
St Kitts and Nevis,SKN,151,149,1041.53,CONCACAF
Yemen,YEM,152,154,1040.13,AFC
Guyana,GUY,153,151,1037.34,CONCACAF
Fiji,FIJ,154,152,1035.11,OFC
Singapore,SGP,155,158,1030.49,AFC
Moldova,MDA,156,156,1020.2,UEFA
Puerto Rico,PUR,157,155,1020.07,CONCACAF
Tahiti,TAH,158,157,1019.04,OFC
Eswatini,SWZ,159,159,1010.52,CAF
Antigua and Barbuda,ATG,160,162,992.38,CONCACAF
Vanuatu,VAN,161,163,991.59,OFC
Afghanistan,AFG,162,161,991.19,AFC
Myanmar,MYA,163,160,990.81,AFC
St Lucia,LCA,164,164,990.69,CONCACAF
Grenada,GRN,165,168,986.48,CONCACAF
Malta,MLT,166,166,979.18,UEFA
South Sudan,SSD,167,169,978.7,CAF
Bermuda,BER,168,165,976.75,CONCACAF
Cuba,CUB,169,167,975.34,CONCACAF
Papua New Guinea,PNG,170,170,969.17,OFC
St Vincent and the Grenadines,VIN,171,172,962.43,CONCACAF
Andorra,AND,172,174,955.1,UEFA
Maldives,MDV,173,171,954.53,AFC
Chinese Taipei,TPE,174,173,947.64,AFC
Barbados,BRB,175,177,919.97,CONCACAF
Montserrat,MSR,176,178,916.75,CONCACAF
Mauritius,MRI,177,179,915.51,CAF
Chad,CHA,178,175,913.87,CAF
Cambodia,CAM,179,180,910.21,AFC
Nepal,NEP,180,176,909.32,AFC
