team,team_code,rank,prev_rank,points,confed
Belize,BLZ,181,181,904.45,CONCACAF
Dominica,DMA,182,182,901.37,CONCACAF
Bangladesh,BAN,183,184,894.06,AFC
American Samoa,ASA,184,187,883.17,OFC
Brunei Darussalam,BRU,185,183,881.74,AFC
Mongolia,MNG,186,188,879.75,AFC
Cook Islands,COK,187,189,877.53,OFC
Laos,LAO,188,185,877.05,AFC
Bhutan,BHU,189,186,876.56,AFC
Samoa,SAM,190,190,876.41,OFC
São Tomé and Príncipe,STP,191,195,871.63,CAF
Macau,MAC,192,191,865.29,AFC
Sri Lanka,SRI,193,197,862.17,AFC
Aruba,ARU,194,192,861.16,CONCACAF
Cayman Islands,CAY,195,196,853.37,CONCACAF
Djibouti,DJI,196,193,847.89,CAF
Timor-Leste,TLS,197,194,840.27,AFC
Pakistan,PAK,198,199,837.09,AFC
Tonga,TGA,199,198,835.64,OFC
Gibraltar,GIB,200,200,823.32,UEFA
Guam,GUM,201,202,823.08,AFC
Somalia,SOM,202,201,818.59,CAF
Bahamas,BAH,203,205,807.36,CONCACAF
Seychelles,SEY,204,203,805.33,CAF
Turks and Caicos Islands,TCA,205,206,803.98,CONCACAF
Liechtenstein,LIE,206,204,801.99,UEFA
US Virgin Islands,VIR,207,207,779.71,CONCACAF
British Virgin Islands,VGB,208,208,765.41,CONCACAF
Anguilla,AIA,209,209,758.52,CONCACAF
San Marino,SMR,210,210,727.95,UEFA
